書名,作者,分類,連結
Learning Python,Mark Lutz,Computers,https://play.google.com/store/books/details?id=nEJ-jcYF2fMC&source=gbs_api
Python Cookbook,"David Beazley, Brian K. Jones",Computers,http://books.google.com/books?id=f7wGeA71_eUC&dq=python&hl=&source=gbs_api
Clean Code in Python,Mariano Anaya,Computers,https://play.google.com/store/books/details?id=ZB9sDwAAQBAJ&source=gbs_api
Learning Scientific Programming with Python,Christian Hill,Science,https://play.google.com/store/books/details?id=cvSTCwAAQBAJ&source=gbs_api
Learning Python,Mark Lutz,Computers,http://books.google.com/books?id=4pgQfXQvekcC&dq=python&hl=&source=gbs_api
Python for Excel,Felix Zumstein,Business & Economics,http://books.google.com/books?id=wHohEAAAQBAJ&dq=python&hl=&source=gbs_api
The Quick Python Book,"Vernon L. Ceder, Naomi R. Ceder",Computers,http://books.google.com/books?id=HFeGvgEACAAJ&dq=python&hl=&source=gbs_api
The Python Book,Rob Mastrodomenico,Mathematics,https://play.google.com/store/books/details?id=DjxZEAAAQBAJ&source=gbs_api
Introducing Python,Bill Lubanovic,Computers,https://play.google.com/store/books/details?id=89W8DwAAQBAJ&source=gbs_api
Python Workout,Reuven M. Lerner,Computers,http://books.google.com/books?id=d_f1DwAAQBAJ&dq=python&hl=&source=gbs_api
Architecture Patterns with Python,"Harry Percival, Bob Gregory",Computers,https://play.google.com/store/books/details?id=U5LUDwAAQBAJ&source=gbs_api
Dive Into Python,Mark Pilgrim,Computers,https://play.google.com/store/books/details?id=7MmeyhTnqRkC&source=gbs_api
The Big Book of Small Python Projects,Al Sweigart,Computers,http://books.google.com/books?id=iIpGEAAAQBAJ&dq=python&hl=&source=gbs_api
Powerful Python,Aaron Maxwell,Computers,https://play.google.com/store/books/details?id=-fwvEQAAQBAJ&source=gbs_api
Python for Kids,Jason R. Briggs,Computers,http://books.google.com/books?id=Wd_PJ2y68uIC&dq=python&hl=&source=gbs_api
Python Data Science Handbook,Jake VanderPlas,Computers,http://books.google.com/books?id=6omNDQAAQBAJ&dq=python&hl=&source=gbs_api
"Invent Your Own Computer Games with Python, 4th Edition",Al Sweigart,Computers,https://play.google.com/store/books/details?id=AQgvDwAAQBAJ&source=gbs_api
Python Essential Reference,David M. Beazley,Computers,http://books.google.com/books?id=Chr1NDlUcI8C&dq=python&hl=&source=gbs_api
Python Packages,"Tomas Beuzen, Tiffany Timbers",Computers,https://play.google.com/store/books/details?id=mJwIEQAAQBAJ&source=gbs_api
Murachs Python Programming,"Joel Murach, Michael Urban",Computers,http://books.google.com/books?id=bMxFvgAACAAJ&dq=python&hl=&source=gbs_api
